Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating
"Data and Applications Security and Privacy XXV  - 25th Annual IFIP WG 11.3 Conference, DBSec 2011, Richmond, VA, USA, July 11-13, 2011, Proceedings",9783642223471,https://www.flipkart.com/data-applications-security-privacy-xxv-25th-annual-ifip-wg-11-3-conference-dbsec-2011-richmond-va-usa-july-11-13-proceedings/p/itmfcyktzzgtz7ch?pid=9783642223471,https://rukminim2.flixcart.com/image/612/612/book/4/7/1/data-and-applications-security-and-privacy-xxv-original-imaeahegezkua6yw.jpeg?q=70,"₹6,040","₹9,060",33% off,"English, Paperback, unknown",
"Applied Mathematics Class-XII Vol 1 And Vol 2 Latest 2022-2023 Edition (Code 241) (Paperback, ML Aggarwal)",RBKGB76M2Q4QFEAZ,https://www.flipkart.com/applied-mathematics-class-xii-1-2-latest-2022-2023-code-241-paperback-ml-aggarwal/p/itma6cc51e4db3cb?pid=RBKGB76M2Q4QFEAZ,https://rukminim2.flixcart.com/image/612/612/kz4gh3k0/regionalbooks/c/b/m/applied-mathematics-class-xii-vol-1-and-vol-2-latest-2022-2023-original-imagb76mepyqtayz.jpeg?q=70,₹817,,,"Paperback, ml aggarwal",4.4
Apc APPLIED MATHEMATICS Class - 12 CBSE Syllabus (Code 241),RBKGUYZ2MTSBQQX5,https://www.flipkart.com/apc-applied-mathematics-class-12-cbse-syllabus-code-241/p/itm1f0d1fdc8b4dc?pid=RBKGUYZ2MTSBQQX5,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/z/9/2/apc-applied-mathematics-class-12-cbse-syllabus-code-241-original-imaguyn8mtz2x3p3.jpeg?q=70,₹740,₹760,2% off,"Paperback, M L AGGARWAL, NEERAJ RAJ JAIN",
Applied Mathematics For Class 12 - Examination 2021-22,RBKGYZDEJ4PJ3NFE,https://www.flipkart.com/applied-mathematics-class-12-examination-2021-22/p/itmb1a313c425c45?pid=RBKGYZDEJ4PJ3NFE,https://rukminim2.flixcart.com/image/612/612/klzhq4w0/regionalbooks/e/m/1/applied-mathematics-for-class-12-examination-2021-22-original-imagyzd9dyzfgkcc.jpeg?q=70,₹478,,,"Paperback, r.d sharma",4.4
APPLIED MATHEMATICS CLASS-XI (VOLUME-1 & 2),9786440523118,https://www.flipkart.com/applied-mathematics-class-xi-volume-1-2/p/itmcef16667ee8ff?pid=9786440523118,https://rukminim2.flixcart.com/image/612/612/kdga1zk0/book/1/1/8/applied-mathematics-class-xi-volume-1-2-original-imafubzve9yj9ger.jpeg?q=70,₹441,₹745,40% off,"Paperback, R.D. SHARMA",4.2
Oswaal CBSE Sample Question Papers Class 12 Applied Mathematics (For 2025 Exam),9789362391605,https://www.flipkart.com/oswaal-cbse-sample-question-papers-class-12-applied-mathematics-for-2025-exam/p/itma5dddf2888568?pid=9789362391605,https://rukminim2.flixcart.com/image/612/612/xif0q/book/9/q/l/oswaal-cbse-sample-question-papers-class-12-applied-mathematics-original-imah4u2bzngn95yn.jpeg?q=70,₹359,,,"Paperback, Oswaal Editorial Board",
Oswaal CBSE Chapterwise & Topicwise Question Bank Class 12 Applied Mathematics Book (For 2023 Exam),9789355958471,https://www.flipkart.com/oswaal-cbse-chapterwise-topicwise-question-bank-class-12-applied-mathematics-book-for-2023-exam/p/itm8e56965e9519f?pid=9789355958471,https://rukminim2.flixcart.com/image/612/612/l33cia80/book/g/v/u/oswaal-cbse-chapterwise-topicwise-question-bank-class-12-applied-original-imageadwd3t7vvvy.jpeg?q=70,₹465,₹499,6% off,"Paperback, Oswaal Editorial Board",4.3
APC CBSE Perfect 10+1 Sample Papers APPLIED MATHEMATICS For Class 12 CBSE Exam 2024,RBKGSSWKVFRPPERM,https://www.flipkart.com/apc-cbse-perfect-10-1-sample-papers-applied-mathematics-class-12-exam-2024/p/itm7d50cac8917ef?pid=RBKGSSWKVFRPPERM,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/x/d/o/apc-cbse-perfect-10-1-sample-papers-applied-mathematics-for-original-imagsswjamgyjjxg.jpeg?q=70,₹220,,,"Paperback, M LAGGARWAL, NEERAJ JAIN",4.7
Oswaal CBSE Sample Question Papers Class 12 Applied Mathematics for 2023 Board Exam (based on CBSE Sample Paper released on 16th September),9789356341548,https://www.flipkart.com/oswaal-cbse-sample-question-papers-class-12-applied-mathematics-2023-board-exam-based-paper-released-16th-september/p/itme1aa17e768435?pid=9789356341548,https://rukminim2.flixcart.com/image/612/612/xif0q/book/z/a/a/oswaal-cbse-sample-question-papers-class-12-applied-mathematics-original-imagj2kzun5q6ewp.jpeg?q=70,₹45,₹299,84% off,"Paperback, Oswaal Editorial Board",4.3
"Oswaal CBSE Question Bank Chapterwise For Term 2, Class 12, Applied Mathematics (For 2022 Exam)",9789354637551,https://www.flipkart.com/oswaal-cbse-question-bank-chapterwise-term-2-class-12-applied-mathematics-for-2022-exam/p/itm9790e9d786724?pid=9789354637551,https://rukminim2.flixcart.com/image/612/612/kxnl6kw0/book/4/6/k/oswaal-cbse-question-bank-chapterwise-for-term-2-class-12-original-imaga2afrn2bjssk.jpeg?q=70,₹249,,,"Paperback, Oswaal Editorial Board",4.7
