"price","mrp","discount","condition","seller","sellerID","ASIN","SellerListingLink"
"₹113.00","₹119.00","-5%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9354635237","https://www.amazon.in/gp/product/9354635237?smid=A3DM1FLUKA6IGQ&psc=1"
"₹119.00","Unavailable","","New","Batheja Books","A2QUCPKK3GH5NC","9354635237","https://www.amazon.in/gp/product/9354635237?smid=A2QUCPKK3GH5NC&psc=1"
"268.","₹299.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9359581844",
"₹238.00","₹299.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A3DM1FLUKA6IGQ&psc=1"
"₹264.00","₹299.00","-12%","New","Repro Books-On-Demand","A15DBATYR506U3","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A15DBATYR506U3&psc=1"
"₹268.00","₹299.00","-10%","New","Book Zone India","A39HNXMA6S5QLF","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A39HNXMA6S5QLF&psc=1"
"₹238.00","₹299.00","-20%","New","Onlinebookboxes","A3FN5651NWLOAB","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A3FN5651NWLOAB&psc=1"
"₹284.00","₹299.00","-5%","New","The Book Masters","A1HSME87SANYHJ","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A1HSME87SANYHJ&psc=1"
"₹299.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A1RT8ZLNSAVMGC&psc=1"
"₹299.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359581844","https://www.amazon.in/gp/product/9359581844?smid=A3PS9PW8IUPJAO&psc=1"
"556.","₹699.00","-20%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9359586544",
"₹556.00","₹699.00","-20%","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359586544","https://www.amazon.in/gp/product/9359586544?smid=A1RT8ZLNSAVMGC&psc=1"
"₹559.00","₹699.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359586544","https://www.amazon.in/gp/product/9359586544?smid=A3DM1FLUKA6IGQ&psc=1"
"₹556.00","₹699.00","-20%","New","Onlinebookboxes","A3FN5651NWLOAB","9359586544","https://www.amazon.in/gp/product/9359586544?smid=A3FN5651NWLOAB&psc=1"
